magnitud,lugar,lat,lon,profundidad,fecha,tipo
4.7,Kermadec Islands region,-27.673,179.4707,519.084,2025-12-02 16:57,Terremoto
2.143644085680035,"6 km S of Houston, Alaska",61.57256317138672,-149.8184051513672,59.8147964477539,2025-12-02 16:44,Terremoto
2.21,"11 km ENE of Kanarraville, Utah",37.5675,-113.062666666667,13.09,2025-12-02 15:51,Terremoto
2.3516016639821395,"91 km S of Kokhanok, Alaska",58.62202835083008,-154.70188903808594,2.2994325160980225,2025-12-02 15:12,Terremoto
4.4,"82 km S of Severo-Kuril’sk, Russia",49.9395,155.9472,67.498,2025-12-02 14:24,Terremoto
2.1,"21 km N of Stanton, Texas",32.319,-101.817,6.9092,2025-12-02 13:21,Terremoto
3.67,"2 km SSE of Guaymate, Dominican Republic",18.5683,-68.9708,113.0,2025-12-02 13:13,Terremoto
4.3,south of the Fiji Islands,-23.149,-177.5628,220.867,2025-12-02 12:55,Terremoto
4.4,"5 km NW of Naic, Philippines",14.3523,120.7259,194.353,2025-12-02 12:07,Terremoto
2.0126019304310145,"20 km NNE of Nikiski, Alaska",60.8640365600586,-151.18161010742188,59.14411544799805,2025-12-02 11:44,Terremoto
3.4,"65 km NW of Rincón, Puerto Rico",18.6901666666667,-67.7505,47.8,2025-12-02 11:37,Terremoto
2.6854512850772596,"37 km W of Salamatof, Alaska",60.67482376098633,-151.9934539794922,89.16677856445312,2025-12-02 11:10,Terremoto
2.104365650136361,"46 km NW of Mentasta Lake, Alaska",63.23530197143555,-144.3626708984375,25.59402275085449,2025-12-02 11:01,Terremoto
5.1,"99 km ESE of Teluk Dalam, Indonesia",0.3448,98.6636,47.942,2025-12-02 10:16,Terremoto
4.3,"70 km ESE of Ollagüe, Chile",-21.3578,-67.5895,197.618,2025-12-02 09:56,Terremoto
4.7,"175 km NE of Lospalos, Timor Leste",-7.5493,128.2579,145.384,2025-12-02 09:30,Terremoto
2.199771639826181,"31 km WSW of Anchor Point, Alaska",59.69900894165039,-152.36749267578125,73.88816833496094,2025-12-02 09:02,Terremoto
5.3,"57 km SE of Severo-Kuril’sk, Russia",50.2516,156.5921,44.799,2025-12-02 08:10,Terremoto
4.4,"56 km ESE of Shimoda, Japan",34.4915,139.5156,10.0,2025-12-02 08:07,Terremoto
3.65,"46 km NNE of Punta Cana, Dominican Republic",18.9595,-68.2093,56.0,2025-12-02 08:06,Terremoto
4.8,"99 km ENE of Nagqu, China",31.9088,92.9819,10.0,2025-12-02 07:56,Terremoto
5.2,"47 km SSE of Nemuro, Japan",42.9104,145.7217,23.906,2025-12-02 07:03,Terremoto
2.5809038696121687,"59 km WNW of Nanwalek, Alaska",59.55094146728516,-152.90451049804688,92.5079116821289,2025-12-02 06:53,Terremoto
3.4377456567127695,"33 km W of Anchor Point, Alaska",59.77250289916992,-152.43325805664062,79.30274200439453,2025-12-02 06:26,Terremoto
2.52,"27 km WSW of Captain Cook, Hawaii",19.3741666666667,-156.148166666667,43.64,2025-12-02 05:59,Terremoto
5.2,central Mid-Atlantic Ridge,9.2884,-40.7369,10.0,2025-12-02 04:34,Terremoto
3.47,"11 km E of Punta Cana, Dominican Republic",18.5918,-68.2988,44.0,2025-12-02 03:45,Terremoto
4.6,central Mid-Atlantic Ridge,9.4368,-40.5855,10.0,2025-12-02 02:59,Terremoto
5.0,Kermadec Islands region,-27.1504,-176.4658,10.0,2025-12-02 02:14,Terremoto
4.6,"17 km ENE of Mene Grande, Venezuela",9.9244,-70.7906,10.0,2025-12-02 01:48,Terremoto
2.46,"6 km WSW of Guánica, Puerto Rico",17.95,-66.9666666666667,7.52,2025-12-02 00:52,Terremoto
2.190120015008978,"34 km NNW of Skwentna, Alaska",62.26233673095703,-151.72166442871094,89.90234375,2025-12-02 00:29,Terremoto
2.15,"6 km WSW of Yountville, CA",38.3800010681152,-122.418167114258,8.5,2025-12-02 00:07,Terremoto
3.3,"17 km NE of Hermleigh, Texas",32.762,-100.644,7.9346,2025-12-01 23:31,Terremoto
2.1374468492177994,"69 km ESE of Pope-Vannoy Landing, Alaska",59.26169204711914,-153.40907287597656,113.53030395507812,2025-12-01 23:05,Terremoto
4.9,"56 km W of Panguna, Papua New Guinea",-6.2578,154.976,168.325,2025-12-01 22:56,Terremoto
2.0349459245215114,"60 km WSW of Nanwalek, Alaska",59.11351013183594,-152.8597869873047,61.34920501708984,2025-12-01 22:16,Terremoto
2.0933762758226675,"34 km E of Skwentna, Alaska",61.96801376342773,-150.73788452148438,61.0396499633789,2025-12-01 21:51,Terremoto
4.9,"186 km SSE of Vilyuchinsk, Russia",51.4015,159.5339,10.0,2025-12-01 21:50,Terremoto
2.03,"4 km NE of Ferndale, CA",40.6036682128906,-124.229164123535,19.7700004577637,2025-12-01 21:40,Terremoto
2.45,"48 km ENE of Ensenada, B.C., MX",31.967,-116.122333333333,17.38,2025-12-01 21:28,Terremoto
4.2,"59 km S of Sand Point, Alaska",54.8024,-160.6233,40.366,2025-12-01 21:19,Terremoto
2.5,"18 km S of La Parguera, Puerto Rico",17.8113333333333,-67.0333333333333,29.37,2025-12-01 21:04,Terremoto
2.231260540476085,"19 km E of Ferry, Alaska",64.02018737792969,-148.71969604492188,5.0,2025-12-01 21:00,Terremoto
